         53004105 function calls (53004043 primitive calls) in 31.015 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  8000000   11.456    0.000   12.098    0.000 random.py:175(randrange)
        1    7.300    7.300   24.727   24.727 ObFUscate.py:12(str2garble)
  8000000    3.292    0.000   15.390    0.000 random.py:238(randint)
        1    3.283    3.283   31.005   31.005 ObFUscate.py:38(encryptMode)
  8000000    1.885    0.000    1.885    0.000 {method 'write' of 'file' objects}
  9000365    1.219    0.000    1.219    0.000 {method 'append' of 'list' objects}
  8000512    1.110    0.000    1.110    0.000 {chr}
  8000000    0.642    0.000    0.642    0.000 {method 'random' of '_random.Random' objects}
  1000027    0.551    0.000    0.551    0.000 {range}
2000300/2000285    0.175    0.000    0.175    0.000 {len}
  1000018    0.092    0.000    0.092    0.000 {method 'reverse' of 'list' objects}
        1    0.002    0.002    0.004    0.004 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
        1    0.001    0.001   31.015   31.015 ObFUscate.py:4(<module>)
        2    0.001    0.000    0.001    0.000 {open}
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {method 'read' of 'file' objects}
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.001    0.001    0.002    0.002 argparse.py:62(<module>)
        1    0.001    0.001    0.001    0.001 {function seed at 0x1044c02a8}
      9/6    0.000    0.000    0.000    0.000 sre_parse.py:395(_parse)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        9    0.000    0.000    0.001    0.000 gettext.py:424(find)
     23/5    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
       18    0.000    0.000    0.000    0.000 gettext.py:132(_expand_lang)
       36    0.000    0.000    0.000    0.000 {posix.stat}
       36    0.000    0.000    0.000    0.000 posixpath.py:61(join)
        1    0.000    0.000    0.000    0.000 argparse.py:863(_StoreTrueAction)
       36    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        9    0.000    0.000    0.001    0.000 argparse.py:1182(__init__)
        9    0.000    0.000    0.000    0.000 argparse.py:154(__init__)
       21    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
    36/18    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
